City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
90,lorengau,PG,81.54,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
92,cidreira,BR,76.39,clear sky,-30.1811,-50.2056,Hotel Castelo
94,gopalpur,IN,76.95,clear sky,19.2667,84.9167,Gopalpur Palm Resort
95,iralaya,HN,84.29,broken clouds,15.0,-83.2333,Iglesia morava renovada
99,mirante do paranapanema,BR,84.13,overcast clouds,-22.2919,-51.9064,Pousada Estrela
108,guaymas,MX,78.89,clear sky,27.9333,-110.9,Hotel Armida
111,odweyne,SO,77.79,scattered clouds,9.4092,45.064,Eng Hiirey House
113,victoria,HK,78.85,light rain,22.2855,114.1577,Mini Hotel Central
122,kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
126,casambalangan,PH,78.69,broken clouds,18.3765,122.1274,Villa Saturnina
129,natal,BR,88.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
131,alyangula,AU,78.67,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
135,caravelas,BR,82.18,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
143,porto novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
154,manta,EC,78.58,overcast clouds,-0.95,-80.7333,Balandra Hotel
164,itaperucu,BR,76.42,broken clouds,-25.22,-49.3478,DR Hotel Rio Branco do Sul
166,tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
175,galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
176,sagua la grande,CU,89.56,broken clouds,22.8067,-80.0756,Hotel Telégrafo
177,tefe,BR,84.31,scattered clouds,-3.3542,-64.7114,Aracati Hotel
181,stephenville,US,82.76,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
184,salalah,OM,78.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
187,itarema,BR,86.43,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
193,zhuhai,CN,78.58,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
200,meulaboh,ID,76.42,overcast clouds,4.1363,96.1285,Kost Pria
205,phatthalung,TH,78.67,moderate rain,7.5,100.0833,Ozone Resort & Pool Villa
208,dangriga,BZ,89.56,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
209,kudahuvadhoo,MV,81.64,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
210,kirakira,SB,78.93,overcast clouds,-10.4544,161.9205,SanBiz Lodge
213,touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
214,saldanha,ZA,78.85,broken clouds,-33.0117,17.9442,Blue Bay Lodge
216,tual,ID,83.44,broken clouds,-5.6667,132.75,Grand Vilia Hotel
